QF4: hspd=20.5356, x=3307.543, y=1611.1035, x_hex=0x454eb8b0, y_hex=0x44c96350, type=overlap
QF4: hspd=20.5355, x=3307.543, y=1611.1035, x_hex=0x454eb8b0, y_hex=0x44c96350, type=overlap
QF4: hspd=20.5354, x=3307.543, y=1611.1035, x_hex=0x454eb8b0, y_hex=0x44c96350, type=overlap
QF4: hspd=20.5353, x=3307.543, y=1611.1035, x_hex=0x454eb8b0, y_hex=0x44c96350, type=overlap
QF4: hspd=20.5352, x=3307.543, y=1611.1035, x_hex=0x454eb8b0, y_hex=0x44c96350, type=overlap
QF4: hspd=20.5146, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5145, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5144, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5143, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5142, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5141, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.514, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5139, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5138, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5137, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5136, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5135, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5134, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5133, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5132, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5131, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.513, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5129, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.5128, x=3307.5303, y=1611.0786, x_hex=0x454eb87c, y_hex=0x44c96284, type=overlap
QF4: hspd=20.4931, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.493, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4929, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
QF4: hspd=20.4928, x=3307.5176, y=1611.0537, x_hex=0x454eb848, y_hex=0x44c961b8, type=overlap
