===== QF 1 =====

===== QF 2 =====

===== QF 3 =====

===== QF 4 =====
hspd=20.4032, y=1610.9541, x=3307.4668
hspd=20.4031, y=1610.9541, x=3307.4668
hspd=20.4030, y=1610.9541, x=3307.4668
hspd=20.4029, y=1610.9541, x=3307.4668
hspd=20.4028, y=1610.9541, x=3307.4668
hspd=20.4027, y=1610.9541, x=3307.4668
hspd=20.4026, y=1610.9541, x=3307.4668
hspd=20.4025, y=1610.9541, x=3307.4668
hspd=20.4024, y=1610.9541, x=3307.4668
hspd=20.3818, y=1610.9292, x=3307.4540
hspd=20.3817, y=1610.9292, x=3307.4540
hspd=20.3816, y=1610.9292, x=3307.4540
hspd=20.3815, y=1610.9292, x=3307.4540
hspd=20.3814, y=1610.9292, x=3307.4540
hspd=20.3813, y=1610.9292, x=3307.4540
hspd=20.3812, y=1610.9292, x=3307.4540
hspd=20.3811, y=1610.9292, x=3307.4540
hspd=20.3810, y=1610.9292, x=3307.4540
hspd=20.3809, y=1610.9292, x=3307.4540
hspd=20.3808, y=1610.9292, x=3307.4540
hspd=20.3807, y=1610.9292, x=3307.4540
hspd=20.3806, y=1610.9292, x=3307.4540
hspd=20.3805, y=1610.9292, x=3307.4540
hspd=20.3804, y=1610.9292, x=3307.4540
hspd=20.3803, y=1610.9292, x=3307.4540
hspd=20.3802, y=1610.9292, x=3307.4540
hspd=20.3801, y=1610.9292, x=3307.4540
hspd=20.3800, y=1610.9292, x=3307.4540
hspd=20.3799, y=1610.9292, x=3307.4540
hspd=20.3603, y=1610.9043, x=3307.4414
hspd=20.3602, y=1610.9043, x=3307.4414
hspd=20.3601, y=1610.9043, x=3307.4414
hspd=20.3600, y=1610.9043, x=3307.4414
hspd=20.3599, y=1610.9043, x=3307.4414
hspd=20.3598, y=1610.9043, x=3307.4414
hspd=20.3597, y=1610.9043, x=3307.4414
hspd=20.3596, y=1610.9043, x=3307.4414
hspd=20.3595, y=1610.9043, x=3307.4414
hspd=20.3594, y=1610.9043, x=3307.4414
hspd=20.3593, y=1610.9043, x=3307.4414
hspd=20.3592, y=1610.9043, x=3307.4414
hspd=20.3591, y=1610.9043, x=3307.4414
hspd=20.3590, y=1610.9043, x=3307.4414
hspd=20.3589, y=1610.9043, x=3307.4414
hspd=20.3588, y=1610.9043, x=3307.4414
hspd=20.3587, y=1610.9043, x=3307.4414
hspd=20.3586, y=1610.9043, x=3307.4414
hspd=20.3585, y=1610.9043, x=3307.4414
hspd=20.3584, y=1610.9043, x=3307.4414
hspd=20.3388, y=1610.8794, x=3307.4287
hspd=20.3387, y=1610.8794, x=3307.4287
hspd=20.3386, y=1610.8794, x=3307.4287
hspd=20.3385, y=1610.8794, x=3307.4287
hspd=20.3384, y=1610.8794, x=3307.4287
hspd=20.3383, y=1610.8794, x=3307.4287
hspd=20.3382, y=1610.8794, x=3307.4287
hspd=20.3381, y=1610.8794, x=3307.4287
hspd=20.3380, y=1610.8794, x=3307.4287
hspd=20.3379, y=1610.8794, x=3307.4287
hspd=20.3378, y=1610.8794, x=3307.4287
hspd=20.3377, y=1610.8794, x=3307.4287
hspd=20.3376, y=1610.8794, x=3307.4287
hspd=20.3375, y=1610.8794, x=3307.4287
hspd=20.3374, y=1610.8794, x=3307.4287
hspd=20.3373, y=1610.8794, x=3307.4287
hspd=20.3372, y=1610.8794, x=3307.4287
hspd=20.3371, y=1610.8794, x=3307.4287
hspd=20.3370, y=1610.8794, x=3307.4287
hspd=20.3164, y=1610.8545, x=3307.4160
hspd=20.3163, y=1610.8545, x=3307.4160
hspd=20.3162, y=1610.8545, x=3307.4160
hspd=20.3161, y=1610.8545, x=3307.4160
hspd=20.3160, y=1610.8545, x=3307.4160
hspd=20.3159, y=1610.8545, x=3307.4160
hspd=20.3158, y=1610.8545, x=3307.4160
hspd=20.3157, y=1610.8545, x=3307.4160
hspd=20.3156, y=1610.8545, x=3307.4160
hspd=20.3155, y=1610.8545, x=3307.4160
hspd=20.2705, y=1610.8047, x=3307.3906
hspd=20.2704, y=1610.8047, x=3307.3906
hspd=20.2703, y=1610.8047, x=3307.3906
hspd=20.2702, y=1610.8047, x=3307.3906
hspd=20.2701, y=1610.8047, x=3307.3906
hspd=20.2700, y=1610.8047, x=3307.3906
hspd=20.2699, y=1610.8047, x=3307.3906
hspd=20.2698, y=1610.8047, x=3307.3906
hspd=20.2697, y=1610.8047, x=3307.3906
hspd=20.2696, y=1610.8047, x=3307.3906
hspd=20.2490, y=1610.7798, x=3307.3780
hspd=20.2489, y=1610.7798, x=3307.3780
hspd=20.2488, y=1610.7798, x=3307.3780
hspd=20.2487, y=1610.7798, x=3307.3780
hspd=20.2486, y=1610.7798, x=3307.3780
hspd=20.2485, y=1610.7798, x=3307.3780
hspd=20.2484, y=1610.7798, x=3307.3780
hspd=20.2483, y=1610.7798, x=3307.3780
hspd=20.2482, y=1610.7798, x=3307.3780
hspd=20.2481, y=1610.7798, x=3307.3780
hspd=20.2480, y=1610.7798, x=3307.3780
hspd=20.2479, y=1610.7798, x=3307.3780
hspd=20.2478, y=1610.7798, x=3307.3780
hspd=20.2477, y=1610.7798, x=3307.3780
hspd=20.2476, y=1610.7798, x=3307.3780
hspd=20.2475, y=1610.7798, x=3307.3780
hspd=20.2474, y=1610.7798, x=3307.3780
hspd=20.2473, y=1610.7798, x=3307.3780
hspd=20.2472, y=1610.7798, x=3307.3780
hspd=20.2471, y=1610.7798, x=3307.3780
hspd=20.2275, y=1610.7549, x=3307.3652
hspd=20.2274, y=1610.7549, x=3307.3652
hspd=20.2273, y=1610.7549, x=3307.3652
hspd=20.2272, y=1610.7549, x=3307.3652
hspd=20.2271, y=1610.7549, x=3307.3652
hspd=20.2270, y=1610.7549, x=3307.3652
hspd=20.2269, y=1610.7549, x=3307.3652
hspd=20.2268, y=1610.7549, x=3307.3652
hspd=20.2267, y=1610.7549, x=3307.3652
hspd=20.2266, y=1610.7549, x=3307.3652
hspd=20.2265, y=1610.7549, x=3307.3652
hspd=20.2264, y=1610.7549, x=3307.3652
hspd=20.2263, y=1610.7549, x=3307.3652
hspd=20.2262, y=1610.7549, x=3307.3652
hspd=20.2261, y=1610.7549, x=3307.3652
hspd=20.2260, y=1610.7549, x=3307.3652
hspd=20.2259, y=1610.7549, x=3307.3652
hspd=20.2258, y=1610.7549, x=3307.3652
hspd=20.2257, y=1610.7549, x=3307.3652
hspd=20.2256, y=1610.7549, x=3307.3652
hspd=20.1835, y=1610.7051, x=3307.3398
hspd=20.1834, y=1610.7051, x=3307.3398
hspd=20.1833, y=1610.7051, x=3307.3398
hspd=20.1832, y=1610.7051, x=3307.3398
hspd=20.1831, y=1610.7051, x=3307.3398
hspd=20.1830, y=1610.7051, x=3307.3398
hspd=20.1829, y=1610.7051, x=3307.3398
hspd=20.1828, y=1610.7051, x=3307.3398
hspd=20.1827, y=1610.7051, x=3307.3398
hspd=20.1377, y=1610.6553, x=3307.3145
hspd=20.1376, y=1610.6553, x=3307.3145
hspd=20.1375, y=1610.6553, x=3307.3145
hspd=20.1374, y=1610.6553, x=3307.3145
hspd=20.1373, y=1610.6553, x=3307.3145
hspd=20.1372, y=1610.6553, x=3307.3145
hspd=20.1371, y=1610.6553, x=3307.3145
hspd=20.1370, y=1610.6553, x=3307.3145
hspd=20.1369, y=1610.6553, x=3307.3145
hspd=20.1368, y=1610.6553, x=3307.3145
hspd=20.1162, y=1610.6304, x=3307.3018
hspd=20.1161, y=1610.6304, x=3307.3018
hspd=20.1160, y=1610.6304, x=3307.3018
hspd=20.1159, y=1610.6304, x=3307.3018
hspd=20.1158, y=1610.6304, x=3307.3018
hspd=20.1157, y=1610.6304, x=3307.3018
hspd=20.1156, y=1610.6304, x=3307.3018
hspd=20.1155, y=1610.6304, x=3307.3018
hspd=20.1154, y=1610.6304, x=3307.3018
hspd=20.1153, y=1610.6304, x=3307.3018
hspd=20.1152, y=1610.6304, x=3307.3018
hspd=20.1151, y=1610.6304, x=3307.3018
hspd=20.1150, y=1610.6304, x=3307.3018
hspd=20.1149, y=1610.6304, x=3307.3018
hspd=20.1148, y=1610.6304, x=3307.3018
hspd=20.1147, y=1610.6304, x=3307.3018
hspd=20.1146, y=1610.6304, x=3307.3018
hspd=20.1145, y=1610.6304, x=3307.3018
hspd=20.1144, y=1610.6304, x=3307.3018
hspd=20.1143, y=1610.6304, x=3307.3018
hspd=20.0947, y=1610.6055, x=3307.2890
hspd=20.0946, y=1610.6055, x=3307.2890
hspd=20.0945, y=1610.6055, x=3307.2890
hspd=20.0944, y=1610.6055, x=3307.2890
hspd=20.0943, y=1610.6055, x=3307.2890
hspd=20.0942, y=1610.6055, x=3307.2890
hspd=20.0941, y=1610.6055, x=3307.2890
hspd=20.0940, y=1610.6055, x=3307.2890
hspd=20.0939, y=1610.6055, x=3307.2890
hspd=20.0938, y=1610.6055, x=3307.2890
hspd=20.0937, y=1610.6055, x=3307.2890
hspd=20.0936, y=1610.6055, x=3307.2890
hspd=20.0935, y=1610.6055, x=3307.2890
hspd=20.0934, y=1610.6055, x=3307.2890
hspd=20.0933, y=1610.6055, x=3307.2890
hspd=20.0932, y=1610.6055, x=3307.2890
hspd=20.0931, y=1610.6055, x=3307.2890
